Date,Equal_Weighted_Value,Custom_Weighted_Value
2019-04-01,36748.64941723244,36534.34705848163
2019-04-02,37011.233097459364,36855.52281172327
2019-04-03,37230.47673164806,37086.431820678714
2019-04-04,37277.52758943965,37115.057529424776
2019-04-05,37334.36615142994,37240.02988790609
2019-04-08,37501.788184422796,37517.275598140994
2019-04-09,37338.7152581408,37365.30581334206
2019-04-10,37542.45761951324,37579.07791553728
2019-04-11,37485.430123758735,37455.35823200562
2019-04-12,37680.526160702844,37587.10351082815
2019-04-15,37752.68537249726,37653.81366179662
2019-04-16,37780.04022382686,37662.60956300103
2019-04-17,38213.67878514873,38173.19080500569
2019-04-18,38440.4847480091,38400.441932948976
2019-04-22,38649.95041117931,38575.9913687685
2019-04-23,39183.59673061163,39114.849266855876
2019-04-24,39010.331978144146,38979.56592484999
2019-04-25,39398.191629918394,39235.06347218539
2019-04-26,39515.19930702956,39271.26841215603
2019-04-29,39716.661996505325,39405.64705587515
2019-04-30,38553.23535277351,38510.62024842094
2019-05-01,38641.56649215045,39050.45064638759
2019-05-02,38314.77832048311,38725.068695282374
2019-05-03,38998.007911121815,39366.35418941158
2019-05-06,38764.35248213281,39019.55224118297
2019-05-07,37992.77725430516,38157.92764824133
2019-05-08,37907.45864906562,38108.4639911581
2019-05-09,37740.36358128946,37884.53997678993
2019-05-10,37725.92610446102,37767.601663004745
2019-05-13,36286.74066158393,36132.327676622364
2019-05-14,36488.710495366715,36465.014636092565
2019-05-15,37302.43365777695,37135.328814379245
2019-05-16,37680.345928951574,37397.79397252526
2019-05-17,37358.514302831405,37117.453809475024
2019-05-20,36532.2430332807,36223.074280120934
2019-05-21,36935.3445609959,36690.733348753456
2019-05-22,36773.04240595232,36390.92360512345
2019-05-23,36309.29687271076,35886.74364980877
2019-05-24,36197.45203231318,35780.775937921986
2019-05-28,36149.98031167757,35705.967702276525
2019-05-29,35768.51971819444,35394.28819695882
2019-05-30,35921.40150766258,35562.51431957706
2019-05-31,35350.0591426206,34971.880049605774
2019-06-03,34143.48625219512,34041.02663049924
2019-06-04,35047.72247932345,35049.85493849114
2019-06-05,35380.456865134605,35495.23707059492
2019-06-06,35775.34377281334,35945.413089432426
2019-06-07,36661.32636761161,36867.23431511241
2019-06-10,37093.69585888718,37303.122346297285
2019-06-11,37170.607423174304,37465.04980997671
2019-06-12,37051.72917108289,37340.088169598836
2019-06-13,37263.45728657872,37489.37788584934
2019-06-14,37131.82772618424,37331.924685078164
2019-06-17,37329.53720430623,37529.28576925392
2019-06-18,37967.65256314704,38244.24894281551
2019-06-19,37971.93063072267,38228.299278512204
2019-06-20,38290.76394640209,38548.54789523311
2019-06-21,38388.64939900571,38568.81073054448
2019-06-24,38352.86510252698,38558.406517200165
2019-06-25,37422.085908084235,37699.87438329513
2019-06-26,37655.35747719408,38099.62416080137
2019-06-27,37629.3336317335,38086.65225901843
2019-06-28,37569.165497408634,37940.60675698325
2019-07-01,38158.56002365443,38555.210153889544
2019-07-02,38463.098589722686,38833.12561921073
2019-07-03,38771.68336536546,39141.622350125675
2019-07-05,38834.08837374128,39157.6886865059
2019-07-08,38376.32586261119,38635.72997689296
2019-07-09,38493.55860455194,38763.137876821
2019-07-10,38940.81391182595,39187.84515599614
2019-07-11,38934.147605370745,39113.84428649752
2019-07-12,39095.03227441567,39315.103641626396
2019-07-15,39276.286658347664,39535.27645108246
2019-07-16,39093.016491423936,39331.74937283496
2019-07-17,38866.81965519379,39105.60838256609
2019-07-18,39033.89528581523,39344.04000986306
2019-07-19,38680.797737328954,38960.072533836246
2019-07-22,39233.57618763356,39612.87122754013
2019-07-23,39518.53812998468,39903.013661551115
2019-07-24,39547.5893705005,39951.83503160857
2019-07-25,39349.8716246783,39722.176004254645
2019-07-26,40764.93536524495,40653.27690247284
2019-07-29,40825.137204270846,40794.27119147304
2019-07-30,40549.45877038495,40556.79532899418
2019-07-31,40324.452486307055,40552.12467424717
2019-08-01,40139.318136763584,40230.432635151854
2019-08-02,39573.10622375534,39600.769453332854
2019-08-05,37972.317386623865,37882.05648275557
2019-08-06,38628.350042369944,38560.93470257628
2019-08-07,38871.19966668626,38843.0756367359
2019-08-08,39836.38320336425,39782.43535918916
2019-08-09,39423.80003967084,39403.073615173606
2019-08-12,39048.073486197434,39092.82505618046
2019-08-13,40114.98222457438,40311.25473505815
2019-08-14,38951.38467901753,39128.32740211843
2019-08-15,38914.175548969964,39038.66552328152
2019-08-16,39567.67254993263,39779.8969225704
2019-08-19,40271.928474546505,40493.841206335106
2019-08-20,39971.92957405645,40279.780470617865
2019-08-21,40355.49185856399,40687.562809789226
2019-08-22,40245.533421793945,40581.10326547728
2019-08-23,38770.875540168956,38996.92598593543
2019-08-26,39413.17481244244,39667.05139945374
2019-08-27,39289.02362946272,39466.295023260114
2019-08-28,39392.31215421579,39602.76581356585
2019-08-29,40091.829981444775,40300.66824216586
2019-08-30,40007.89343652879,40226.840363828705
2019-09-03,39402.606270134405,39632.82076896922
2019-09-04,39921.80562374089,40194.21341564078
2019-09-05,40752.73751425929,41002.60360093384
2019-09-06,40593.53552385977,40877.53021075464
2019-09-09,40485.80287358679,40818.337987429724
2019-09-10,40508.72626619731,40934.11957039618
2019-09-11,41102.16350540803,41685.570601510524
2019-09-12,41380.55790010209,41869.889905579446
2019-09-13,41148.66989678563,41478.660611992455
2019-09-16,41028.98714426028,41441.792493139925
2019-09-17,41165.64359485545,41602.06144248705
2019-09-18,41438.10627990297,41918.548813292735
2019-09-19,41648.51215866072,42021.24676129206
2019-09-20,41185.2997174026,41507.99389809572
2019-09-23,41272.32945897292,41608.313683368106
2019-09-24,40850.59755002379,41241.227598915335
2019-09-25,41565.00598564713,41923.81863665924
2019-09-26,41470.8471632438,41807.37996393344
2019-09-27,41042.45635519391,41433.00312579677
2019-09-30,41439.88356854243,42005.37503206275
2019-10-01,41112.12542170904,41781.70142842868
2019-10-02,40207.571241358775,40842.15022519109
2019-10-03,40614.62509514223,41243.76130063621
2019-10-04,41421.97017680093,42138.19907164566
2019-10-07,41294.149234416436,42032.45948168979
2019-10-08,40780.91087131681,41526.83826117337
2019-10-09,41337.88328116194,42091.80991372758
2019-10-10,41690.34584448532,42503.52703053952
2019-10-11,42189.618523181765,43165.813872947256
2019-10-14,42180.119056898926,43137.32382769051
2019-10-15,42633.385565827,43447.725080101634
2019-10-16,42468.25909074697,43258.53211637857
2019-10-17,42562.241653272424,43344.17837553714
2019-10-18,42303.800110257675,43177.97052982743
2019-10-21,42651.55239755394,43647.629967350935
2019-10-22,42372.283114009304,43381.25861598914
2019-10-23,42838.88845391213,43870.20589598461
2019-10-24,43160.10915240947,44175.53288976253
2019-10-25,43477.81975516293,44558.806496669065
2019-10-28,44262.212017218975,45284.5992387909
2019-10-29,43457.66053249808,44433.804764223685
2019-10-30,43636.86601264645,44597.47518463937
2019-10-31,43819.087055014854,44973.47188467215
2019-11-01,44425.35117998061,45740.707373546335
2019-11-04,44810.180894076344,46094.97131235291
2019-11-05,44800.61481494697,46066.328158425444
2019-11-06,44760.68071083529,46034.84566421576
2019-11-07,45137.69687365084,46433.27711023156
2019-11-08,45379.89309858191,46675.606404436774
2019-11-11,45391.34949155714,46798.36085177016
2019-11-12,45464.446033737906,46861.47725179123
2019-11-13,45622.350680733274,47101.480522581296
2019-11-14,45746.713218394194,47104.72048316813
2019-11-15,46408.670147435114,47742.318655481286
2019-11-18,46365.90868630995,47799.925682502144
2019-11-19,46239.28564941332,47679.70750677473
2019-11-20,45907.11990525666,47299.40739850589
2019-11-21,45803.98004889702,47167.60446813124
2019-11-22,45725.83468128539,47110.37015661207
2019-11-25,46301.21135263404,47765.50352518087
2019-11-26,46349.34180565921,47708.6678017691
2019-11-27,46576.09536293658,48050.05696925393
2019-11-29,46350.952415815365,47849.288568626565
2019-12-02,45805.10222324354,47287.37580232983
2019-12-03,45578.019916462516,46886.189970674175
2019-12-04,46051.02811512221,47319.2450123135
2019-12-05,46377.767817473345,47731.483257679545
2019-12-06,47008.85482608361,48455.72387585625
2019-12-09,46791.316272155054,48105.21148158383
2019-12-10,46857.61705851478,48223.14796307515
2019-12-11,47065.56457912224,48493.133833154694
2019-12-12,47314.294566195604,48733.19988450871
2019-12-13,47642.49533800052,49175.78149987873
2019-12-16,48180.19072062779,49793.14571241281
2019-12-17,48056.433267191605,49718.86647683279
2019-12-18,47949.782339721954,49606.73623864791
2019-12-19,48158.0806889512,49793.99357959758
2019-12-20,48238.31763451805,49867.19199334422
2019-12-23,48493.68612649895,50269.71121744458
2019-12-24,48431.77147123827,50244.58362711989
2019-12-26,49101.01824113741,51001.40084941098
2019-12-27,49030.66899226248,50961.077266882705
2019-12-30,48806.678573785204,50868.20741328435
2019-12-31,48933.023537868656,51062.27032879445
2020-01-02,49963.882466596195,52151.76028043812
2020-01-03,49507.46314967593,51648.87330391239
2020-01-06,50121.47017619215,52170.02721059412
2020-01-07,49858.29518915342,51884.494398179886
2020-01-08,50508.65284062319,52623.59830886797
2020-01-09,51253.353476281525,53490.20662862418
2020-01-10,51323.267243092836,53545.51228308628
2020-01-13,52027.00092816692,54393.60459288729
2020-01-14,51556.99616510753,53840.12133684831
2020-01-15,51698.07286121404,53894.16288446784
2020-01-16,52360.9316462358,54610.053453231856
2020-01-17,53005.20966560184,55225.16604620168
2020-01-21,52854.63837271056,54998.9355255248
2020-01-22,52852.127504168035,55029.83605286466
2020-01-23,53055.150748288375,55270.04757384929
2020-01-24,52605.37325786295,54885.43563056119
2020-01-27,51384.60427644349,53545.26326303182
2020-01-28,52429.34420030856,54757.82027650171
2020-01-29,53142.3737598371,55633.882031208675
2020-01-30,53586.58473811582,56045.65095899719
2020-01-31,52267.26355341128,54389.5172001041
2020-02-03,53249.951661045125,55090.850815006765
2020-02-04,53974.979955656614,56267.87969602793
2020-02-05,54107.67783451278,56481.65499004815
2020-02-06,55065.780592312476,57397.048473772564
2020-02-07,54881.30912805448,57055.74477375435
2020-02-10,55812.18606166421,57866.94088205626
2020-02-11,55297.21235958893,57311.206889693065
2020-02-12,55866.53535846285,58081.936489638625
2020-02-13,55568.851017867644,57740.7148933551
2020-02-14,55804.12582603709,57943.2087449331
2020-02-18,55660.89874660152,57594.46124482485
2020-02-19,56051.5474002653,58104.50120157956
2020-02-20,55477.99173830441,57480.20046206752
2020-02-21,54066.067556496884,56030.44264646828
2020-02-24,51660.33686025955,53494.54612909645
2020-02-25,50386.10734215891,52070.98794287901
2020-02-26,50912.68224072143,52710.37458223295
2020-02-27,47685.83548244481,49300.83383769545
2020-02-28,48355.15313780837,49826.74740521132
